"NOME_PROFISSIONAL";"OCUPACAO";"ESTABELECIMENTO_CNPJ"
"AUGUSTO CANTO";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"BARBARA KAWALL CONNOLLY BARREIROS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"BRUNA BASSO BOARETTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"BRUNO BERNARDON DE OLIVEIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CAMILE SILVELLO PEREIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CARLOS ARTEAGA RODRIGUEZ";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CARLOS EDUARDO AKIRA FUJISAWA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CAROLINA BARRETO BERTINATO";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CAROLINE DE MELO ALBERTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CAROLINE PEREIRA BUENO RASTELLI";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"CINTIA DE PAULA BAULE";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"DAIANE CAMPOS NASCIMENTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"DIEGO LUIZ DE LEMOS BERTOLLI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"EDER CALOI BARRO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"EDUARDO CEZAR RODRIGUES SINCERO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ENIO CAETANO SCANDAROLLI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ESTELA MARA LOPES GALVAO ALVES";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"EVANDRO EMMANUEL RODRIGUES DA SILVA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"EVANGELO MOUTSOPOULOS";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"FERNANDO MITSUO SUMIYA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"FERNANDO MORIKUNI FOUANI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"FLAVIA MACHADO COSTA SOUSA RIBEIRO";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"GISLAINE NAOMI SHIMIZU";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"GLAUCIA REIS TORRENS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"GREICE MIRANDA DE OLIVEIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"HELIO MOREIRA FILHO";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"IVAN SEBASTIAO DE MATTOS";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"JOAO ORLANDO RIBEIRO GONCALVES FILHO";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"JOAO PAULO BULLA MARIA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"JOAO VICTOR MOREIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"JOYCE LEIKO HASHIMOTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"JULIANE BERTONI FERRAZ";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LARISSA CRISTIANE VAZ";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LETICIA PASCELLI SANTANA SANTOS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LINDOLFO RIBEIRO FERNANDES JUNIOR";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUCILEYNE WITTKOWSKI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIS FELIPE DE CAMARGO ABAGGE";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIZ ALBERTO ROTH CARDOSO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIZ ALBERTO WOLFF CANTOR";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIZ ANTONIO PENTEADO SETTI";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIZ STRIESKI JUNIOR";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"LUIZA CARVALHO DA SILVEIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MARCELE PORTELA ANTORIA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MARCO AURELIO SALDANHA BARAN";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MARCOS AUGUSTO NOVO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MARIO GOMES DE MELLO LEITAO FILHO";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MARJORIE NOVAKI DOS SANTOS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MELISSA HARUMI ISHIKAWA HIGAKI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"MOISES DO NASCIMENTO THEL";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"NATHALIA MAYUMI TSUKAMOTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"NICOLE KARINA NICOLAIKO TEMPERLY";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"NILTON KIESEL FILHO";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"PEDRO LEWISKI";"MEDICO HOMEOPATA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"REGIANY MAR ANTON CRUZ WOIDELLO";"MEDICO HOMEOPATA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"RENATO NADAL SOUZA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"SANDRO RAFAEL FUSTINONI LOURENCO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"SERGIO CHIESA";"MEDICO ACUPUNTURISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"TANA MARA CASEMIRO BELINATI LOUREIRO";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"TANIA MARIE DOS SANTOS MADRUGA DUARTE";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"THAIS HARUMI BABATA FERREIRA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"THAIS MICHIE DOS SANTOS NAKAYAMA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"TOMIKO SHIOKAWA";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"YASMIN JORGEANA DE ALMEIDA ANDRADE";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"DAMARIS ESTER DALMAS";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO - CNPJ: 13792329000184"
"IVETE BERKENBROCK";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO - CNPJ: 13792329000184"
"IVETE BERKENBROCK";"MEDICO GERIATRA";"CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO - CNPJ: 13792329000184"
"LETICIA DITTRICH FAGUNDES";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO - CNPJ: 13792329000184"
"MEIRE MAYUMI UTIME";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO - CNPJ: 13792329000184"
"ANDREA REGINA FREITAS TEIXEIRA";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"GUILHERME MARTINS";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"IAN SELONKE";"MEDICO OTORRINOLARINGOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"JANAINA SALVATI CARNEIRO DE CAMPOS";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"JOSEMAR DALMAS";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"LUIZA EASTWOOD ROMAGNOLLI";"MEDICO DERMATOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"MARCELO KUZMICZ";"MEDICO PNEUMOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"MICHELLE GARCIA POLESEL";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"MONIQUE CAROLINA MEIRA DO ROSARIO SOUZA";"MEDICO DERMATOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"MURILO DOS SANTOS AMBROSIO";"MEDICO CIRURGIAO GERAL";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"NAGEIB MAMEDIO BARK";"MEDICO UROLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"PAULA IURICA HAMANO";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"PRISCILA DANIELA SCHNEIDER";"MEDICO DERMATOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"RENATA DE JESUS VIEIRA";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"RENATA DE JESUS VIEIRA";"MEDICO INFECTOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"ROBERTO PEREIRA DURSCKI";"MEDICO COLOPROCTOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"TATIANA MAUAD PATRUNI";"MEDICO OTORRINOLARINGOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"THANARA PRUNER DA SILVA";"MEDICO OTORRINOLARINGOLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"TIAGO KUCHNIR MARTINS DE OLIVEIRA";"MEDICO GASTROENTEROLOGISTA";"CENTRO DE ESPECIALIDADES SALGADO FILHO - CNPJ: 13792329000184"
"ADELIA CRISTINA CADETTE GUIMARAES";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"ADRIANA CHRISTINE BADUY ZANCHET";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"ALESSANDRA DE ATHAYDE CUNHA GOMES";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"CAMILA LUHM SILVA PEREZ";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"CARLOS GUSTAVO MICHAELIS SCHMIDT";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"CRISTINA ANDRADE DA SILVA";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"EDUARDO ZANCHET";"MEDICO UROLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"ELANY ROSEVICS";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"ELISETE YURIE MURATA";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"EVANGELO MOUTSOPOULOS";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"GABRIELE EHLERT MARTINS";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"HUGO MORAES JUNIOR";"MEDICO CIRURGIAO PEDIATRICO";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"JOSE NORBERTO SCALCO";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"KENGI ITINOSE";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"LETHUSA CAMACHO FORTES";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"LUIZ AUGUSTO GALLIERI";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
"MACCLEITON GEHLEN";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES SANTA FELICIDADE - CNPJ: 13792329000184"
