@relation frutas
@attribute madureza {0, 1, 2}
@attribute carboidratos {0, 1, 2}
@attribute fibras {0, 1, 2}
@attribute proteinas {0, 1, 2}
@attribute lipideos {0, 1, 2}
@attribute energia {5, 25, 50, 100}
@data
2, 1, 1, 0, 1, 25
1, 0, 1, 2, 1, 50
2, 1, 0, 0, 1, 25
0, 2, 0, 1, 1, 50
0, 1, 0, 1, 0, 25
1, 1, 2, 1, 0, 100
0, 1, 0, 2, 2, 50
1, 1, 2, 1, 2, 100
1, 2, 1, 1, 1, 100
0, 0, 2, 0, 2, 25
1, 1, 2, 2, 2, 100
2, 0, 2, 2, 1, 5
2, 1, 1, 1, 2, 25
0, 1, 0, 0, 0, 25
2, 0, 0, 1, 1, 5
2, 1, 1, 2, 2, 25
1, 0, 2, 1, 1, 50
1, 0, 2, 0, 2, 50
1, 1, 1, 0, 0, 100
1, 0, 0, 1, 1, 50
0, 2, 2, 2, 0, 25
1, 0, 1, 0, 1, 50
0, 1, 0, 2, 2, 50
1, 1, 1, 2, 1, 100
2, 2, 0, 2, 1, 25
2, 1, 0, 1, 1, 25
0, 2, 1, 0, 0, 25
2, 0, 1, 0, 0, 5
0, 2, 2, 2, 2, 50
0, 2, 1, 2, 1, 50
1, 1, 0, 0, 0, 100
2, 2, 0, 2, 1, 25
2, 1, 0, 1, 1, 25
0, 2, 1, 0, 0, 25
2, 1, 1, 0, 2, 25
2, 1, 0, 1, 1, 25
1, 1, 0, 0, 0, 100
0, 2, 1, 0, 0, 25
2, 2, 0, 2, 1, 25
0, 2, 1, 2, 1, 50
1, 1, 1, 0, 1, 100
1, 1, 1, 2, 0, 100
0, 0, 1, 1, 1, 25
0, 1, 2, 1, 0, 25
0, 0, 1, 1, 1, 25
2, 0, 2, 0, 0, 5
0, 1, 1, 1, 0, 25
1, 1, 1, 2, 0, 100
2, 0, 2, 0, 0, 5
0, 1, 2, 1, 0, 25
0, 0, 0, 1, 1, 25
0, 1, 1, 1, 0, 25
1, 1, 1, 0, 2, 100
1, 1, 2, 0, 2, 100
0, 2, 1, 2, 0, 25
2, 1, 0, 0, 2, 25
1, 1, 1, 1, 1, 100
1, 1, 2, 0, 2, 100
2, 2, 0, 0, 1, 25
2, 1, 0, 0, 2, 25
1, 1, 1, 1, 1, 100
0, 2, 1, 2, 0, 25
2, 1, 0, 0, 2, 25
2, 0, 0, 2, 0, 5
0, 2, 0, 1, 0, 25
1, 0, 2, 1, 1, 50
2, 1, 0, 1, 1, 25
0, 0, 1, 1, 2, 25
0, 2, 0, 1, 1, 50
0, 2, 1, 1, 1, 50
0, 2, 1, 2, 1, 50
0, 1, 2, 1, 2, 50
2, 1, 2, 0, 0, 5
1, 1, 1, 2, 1, 100
2, 1, 1, 0, 1, 25
2, 0, 2, 2, 1, 5
0, 2, 1, 1, 2, 50
1, 2, 2, 2, 1, 100
1, 2, 0, 0, 2, 100
2, 2, 0, 2, 1, 25
1, 2, 0, 0, 2, 100
1, 2, 2, 0, 2, 100
1, 1, 2, 2, 2, 100
2, 2, 0, 2, 1, 25
2, 0, 0, 1, 1, 5
2, 1, 2, 1, 2, 25
1, 2, 1, 2, 0, 100
2, 2, 2, 0, 2, 25
2, 0, 0, 0, 1, 5
1, 2, 1, 1, 2, 100
0, 0, 2, 2, 2, 25
2, 0, 1, 0, 2, 5
0, 2, 2, 2, 0, 25
0, 0, 2, 1, 0, 5
2, 2, 2, 2, 0, 5
1, 0, 2, 2, 2, 50
0, 2, 0, 0, 2, 50
1, 2, 2, 2, 0, 100
1, 0, 2, 1, 0, 5
1, 0, 0, 1, 2, 50
2, 0, 0, 2, 2, 5
2, 2, 2, 1, 0, 5
0, 2, 0, 2, 2, 50
2, 0, 2, 1, 2, 5
2, 1, 0, 1, 0, 5
2, 1, 1, 1, 2, 25
0, 0, 2, 0, 0, 5
0, 1, 2, 2, 1, 50
1, 2, 2, 2, 2, 100
0, 1, 2, 1, 1, 50
0, 1, 2, 2, 1, 50
2, 2, 1, 0, 1, 25
0, 0, 2, 1, 2, 25
0, 0, 0, 0, 0, 5
0, 0, 2, 1, 1, 25
2, 2, 2, 1, 2, 25
0, 0, 2, 1, 0, 5
2, 2, 1, 2, 2, 25
1, 2, 2, 1, 0, 100
2, 2, 2, 0, 2, 25
1, 0, 2, 1, 2, 50
1, 1, 2, 2, 1, 100
2, 2, 1, 2, 1, 25
0, 0, 1, 0, 0, 5
1, 2, 0, 1, 1, 100
1, 0, 1, 2, 2, 50
1, 1, 0, 0, 2, 100
2, 2, 1, 1, 0, 5
1, 0, 0, 1, 2, 50
2, 0, 2, 1, 1, 5
0, 1, 1, 1, 0, 25
1, 0, 2, 0, 2, 50
1, 2, 1, 2, 2, 100
2, 0, 1, 2, 2, 5
1, 0, 2, 0, 0, 5
0, 2, 1, 2, 0, 25
0, 0, 1, 0, 0, 5
0, 0, 1, 2, 2, 25
2, 2, 1, 1, 0, 5
2, 0, 0, 1, 1, 5
1, 1, 1, 1, 1, 100
2, 2, 1, 2, 1, 25
0, 1, 1, 1, 0, 25
0, 1, 0, 2, 1, 50
1, 1, 0, 2, 0, 100
1, 0, 1, 0, 1, 50
1, 1, 1, 1, 1, 100
1, 2, 0, 1, 0, 100
1, 0, 2, 2, 2, 50
0, 1, 2, 1, 1, 50
2, 1, 0, 1, 1, 25
2, 2, 1, 0, 1, 25
1, 2, 2, 1, 1, 100
2, 2, 1, 1, 2, 25
1, 2, 2, 1, 1, 100
2, 2, 1, 0, 2, 25
1, 1, 1, 1, 0, 100
2, 2, 1, 1, 2, 25
2, 1, 1, 0, 1, 25
2, 1, 0, 0, 1, 25
0, 2, 0, 2, 1, 50
1, 0, 0, 0, 0, 5
0, 0, 1, 1, 2, 25
0, 2, 2, 1, 1, 50
2, 1, 1, 0, 0, 5
1, 1, 1, 0, 2, 100
1, 0, 1, 1, 2, 50
0, 0, 1, 2, 2, 25
0, 2, 1, 0, 2, 50
2, 0, 2, 1, 0, 5
1, 2, 1, 2, 0, 100
1, 0, 1, 1, 1, 50
2, 0, 2, 2, 0, 5
2, 2, 0, 0, 2, 25
2, 0, 2, 1, 1, 5
0, 2, 0, 0, 0, 25
2, 0, 0, 1, 1, 5
2, 0, 1, 0, 0, 5
2, 0, 1, 1, 2, 5
2, 2, 1, 2, 2, 25
0, 2, 2, 1, 2, 50
0, 2, 0, 0, 0, 25
2, 0, 0, 1, 1, 5
2, 0, 2, 0, 0, 5
2, 2, 1, 2, 2, 25
0, 2, 2, 1, 2, 50
1, 0, 0, 2, 0, 5
1, 1, 0, 1, 2, 100
2, 1, 2, 1, 0, 5
2, 1, 1, 2, 2, 25
0, 2, 2, 1, 0, 25
0, 0, 2, 1, 1, 25
0, 0, 1, 2, 1, 25
1, 1, 0, 2, 2, 100
2, 1, 1, 1, 0, 5
2, 2, 0, 0, 0, 5
0, 0, 2, 1, 0, 5
1, 0, 2, 2, 2, 50
1, 1, 2, 0, 1, 100
0, 2, 2, 0, 2, 50
1, 2, 1, 0, 0, 100
1, 2, 0, 1, 2, 100
0, 0, 2, 1, 0, 5
1, 1, 2, 0, 1, 100
0, 2, 2, 0, 2, 50
2, 2, 0, 1, 0, 5
1, 2, 1, 0, 0, 100
2, 1, 1, 2, 2, 25
0, 1, 0, 2, 2, 50
0, 2, 1, 2, 2, 50
0, 0, 2, 1, 2, 25
0, 2, 1, 0, 1, 50
0, 1, 1, 1, 1, 50
2, 2, 1, 0, 2, 25
2, 2, 2, 1, 2, 25
2, 2, 1, 0, 2, 25
2, 2, 2, 1, 2, 25
1, 0, 0, 2, 0, 5
2, 2, 2, 1, 2, 25
0, 1, 1, 1, 1, 50
1, 2, 2, 1, 0, 100
2, 1, 2, 2, 2, 25
1, 0, 0, 2, 0, 5
1, 0, 1, 0, 2, 50
0, 2, 2, 0, 1, 50
0, 2, 1, 1, 2, 50
1, 2, 0, 2, 2, 100
0, 2, 2, 0, 1, 50
0, 2, 1, 1, 2, 50
1, 2, 0, 2, 1, 100
1, 2, 0, 2, 2, 100
1, 2, 2, 0, 1, 100
2, 0, 2, 1, 2, 5
0, 0, 1, 1, 1, 25
0, 0, 0, 0, 1, 25
0, 0, 2, 1, 1, 25
0, 0, 2, 1, 1, 25
0, 0, 1, 1, 1, 25
0, 0, 0, 0, 1, 25
1, 2, 0, 1, 0, 100
0, 1, 2, 0, 1, 50
1, 2, 2, 0, 1, 100
1, 0, 1, 1, 2, 50
2, 0, 2, 2, 0, 5
0, 1, 0, 2, 2, 50
1, 1, 2, 2, 2, 100
2, 2, 1, 0, 2, 25
1, 0, 1, 1, 2, 50
2, 0, 2, 2, 0, 5
